time,id,name,x,y,z,h,p,r,speed,wheel_angle,wheel_rot
0.000,0,Ego,507.612,-24.742,0.000,3.745,0.000,0.000,11.111,0.000,0.000
0.000,1,Agent1,512.581,-23.141,0.000,3.745,0.000,0.000,0.000,0.000,0.000
0.050,0,Ego,507.154,-25.057,0.000,3.745,0.000,0.000,11.111,0.000,1.587
0.050,1,Agent1,512.581,-23.141,0.000,3.745,0.000,0.000,0.000,0.000,0.000
0.100,0,Ego,506.697,-25.373,0.000,3.745,0.000,0.000,11.111,0.000,3.175
0.100,1,Agent1,512.581,-23.141,0.000,3.745,0.000,0.000,0.000,0.000,0.000
0.150,0,Ego,506.239,-25.688,0.000,3.745,0.000,0.000,11.111,-0.000,4.762
0.150,1,Agent1,512.581,-23.141,0.000,3.745,0.000,0.000,0.000,0.000,0.000
0.200,0,Ego,505.781,-26.003,0.000,3.745,0.000,0.000,11.111,0.001,0.066
0.200,1,Agent1,512.581,-23.141,0.000,3.745,0.000,0.000,0.000,0.000,0.000
0.250,0,Ego,505.324,-26.318,0.000,3.745,0.000,0.000,11.111,0.000,1.653
0.250,1,Agent1,512.581,-23.141,0.000,3.745,0.000,0.000,0.000,0.000,0.000
0.300,0,Ego,504.866,-26.633,0.000,3.745,0.000,0.000,11.111,0.001,3.241
0.300,1,Agent1,512.581,-23.141,0.000,3.745,0.000,0.000,0.000,0.000,0.000
0.350,0,Ego,504.409,-26.949,0.000,3.745,0.000,0.000,11.111,0.000,4.828
0.350,1,Agent1,512.581,-23.141,0.000,3.745,0.000,0.000,0.000,0.000,0.000
0.400,0,Ego,503.951,-27.264,0.000,3.745,0.000,0.000,11.111,0.001,0.132
0.400,1,Agent1,512.581,-23.141,0.000,3.745,0.000,0.000,0.000,0.000,0.000
0.450,0,Ego,503.493,-27.580,0.000,3.745,0.000,0.000,11.111,0.002,1.719
0.450,1,Agent1,512.581,-23.141,0.000,3.745,0.000,0.000,0.000,0.000,0.000
0.500,0,Ego,503.036,-27.895,0.000,3.745,0.000,0.000,11.111,-0.000,3.307
0.500,1,Agent1,512.581,-23.141,0.000,3.745,0.000,0.000,0.000,0.000,0.000
0.550,0,Ego,502.578,-28.211,0.000,3.746,0.000,0.000,11.111,0.002,4.894
0.550,1,Agent1,512.581,-23.141,0.000,3.745,0.000,0.000,0.000,0.000,0.000
0.600,0,Ego,502.121,-28.527,0.000,3.746,0.000,0.000,11.111,-0.000,0.198
0.600,1,Agent1,512.581,-23.141,0.000,3.745,0.000,0.000,0.000,0.000,0.000
0.650,0,Ego,501.663,-28.843,0.000,3.746,0.000,0.000,11.111,0.002,1.785
0.650,1,Agent1,512.581,-23.141,0.000,3.745,0.000,0.000,0.000,0.000,0.000
0.700,0,Ego,501.206,-29.158,0.000,3.746,0.000,0.000,11.111,0.000,3.373
0.700,1,Agent1,512.581,-23.141,0.000,3.745,0.000,0.000,0.000,0.000,0.000
0.750,0,Ego,500.749,-29.474,0.000,3.746,0.000,0.000,11.111,0.002,4.960
0.750,1,Agent1,512.581,-23.141,0.000,3.745,0.000,0.000,0.000,0.000,0.000
0.800,0,Ego,500.292,-29.790,0.000,3.746,0.000,0.000,11.111,-0.000,0.264
0.800,1,Agent1,512.123,-23.456,0.000,3.745,0.000,0.000,11.111,-0.000,1.587
0.850,0,Ego,499.834,-30.106,0.000,3.747,0.000,0.000,11.111,0.001,1.851
0.850,1,Agent1,511.666,-23.771,0.000,3.745,0.000,0.000,11.111,-0.001,3.175
0.900,0,Ego,499.378,-30.422,0.000,3.747,0.000,0.000,11.111,-0.000,3.439
0.900,1,Agent1,511.208,-24.087,0.000,3.745,0.000,0.000,11.111,0.000,4.762
0.950,0,Ego,498.921,-30.738,0.000,3.747,0.000,0.000,11.111,0.001,5.026
0.950,1,Agent1,510.751,-24.402,0.000,3.745,0.000,0.000,11.111,-0.001,0.066
1.000,0,Ego,498.464,-31.054,0.000,3.747,0.000,0.000,11.111,-0.000,0.330
1.000,1,Agent1,510.293,-24.717,0.000,3.745,0.000,0.000,11.111,-0.000,1.653
1.050,0,Ego,498.007,-31.370,0.000,3.747,0.000,0.000,11.111,0.000,1.917
1.050,1,Agent1,509.836,-25.032,0.000,3.745,0.000,0.000,11.111,-0.001,3.241
1.100,0,Ego,497.551,-31.686,0.000,3.747,0.000,0.000,11.111,-0.001,3.505
