esmini GIT REV: N/A
esmini GIT TAG: N/A
esmini GIT BRANCH: N/A
esmini BUILD VERSION: 3923
Scenario File Name: .\resources\xosc/./hcis_12.xosc
Number of Vehicles: 2
Index [-] , TimeStamp [s] , #1 Entity_Name [-] , #1 Entity_ID [-] , #1 Current_Speed [m/s] , #1 Wheel_Angle [deg] , #1 Wheel_Rotation [-] , #1 bb_x [m] , #1 bb_y [m] , #1 bb_z [m] , #1 bb_length [m] , #1 bb_width [m] , #1 bb_height [m] , #1 World_Position_X [m] , #1 World_Position_Y [m] , #1 World_Position_Z [m] , #1 Vel_X [m/s] , #1 Vel_Y [m/s] , #1 Vel_Z [m/s] , #1 Acc_X [m/s2] , #1 Acc_Y [m/s2] , #1 Acc_Z [m/s2] , #1 Distance_Travelled_Along_Road_Segment [m] , #1 Lateral_Distance_Lanem [m] , #1 lane_id, #1 lane_offset[m] , #1 World_Heading_Angle [rad] , #1 Heading_Angle_Rate [rad/s] , #1 Relative_Heading_Angle [rad] , #1 Relative_Heading_Angle_Drive_Direction [rad] , #1 World_Pitch_Angle [rad] , #1 Road_Curvature [1/m] , #1 collision_ids , #2 Entity_Name [-] , #2 Entity_ID [-] , #2 Current_Speed [m/s] , #2 Wheel_Angle [deg] , #2 Wheel_Rotation [-] , #2 bb_x [m] , #2 bb_y [m] , #2 bb_z [m] , #2 bb_length [m] , #2 bb_width [m] , #2 bb_height [m] , #2 World_Position_X [m] , #2 World_Position_Y [m] , #2 World_Position_Z [m] , #2 Vel_X [m/s] , #2 Vel_Y [m/s] , #2 Vel_Z [m/s] , #2 Acc_X [m/s2] , #2 Acc_Y [m/s2] , #2 Acc_Z [m/s2] , #2 Distance_Travelled_Along_Road_Segment [m] , #2 Lateral_Distance_Lanem [m] , #2 lane_id, #2 lane_offset [m] , #2 World_Heading_Angle [rad] , #2 Heading_Angle_Rate [rad/s] , #2 Relative_Heading_Angle [rad] , #2 Relative_Heading_Angle_Drive_Direction [rad] , #2 World_Pitch_Angle [rad] , #2 Road_Curvature [1/m] , #2 collision_ids , 
0, 0.000000, Ego, 0, 16.666667, 0.000000, 0.000000, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 57.308522, -201.215209, 0.000000, 15.707001, -5.573861, 0.000000, 0.000000, 0.000000, 0.000000, 59.631416, -4.826800, -2, 0.000000, 5.942183, 0.000000, 0.000000, 0.002081, 0.000000, 0.000233, , Agent1, 1, 11.111111, 0.000000, 0.000000, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 85.612614, -211.191112, 0.000000, 10.471770, -3.714677, 0.000000, 0.000000, 0.000000, 0.000000, 89.631416, -4.741885, -2, 0.000000, 5.942301, 0.000000, 0.000000, -0.000002, 0.000000, 0.000033, , 
1, 0.001000, Ego, 0, 16.663307, 0.000500, 0.047609, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 57.324226, -201.220782, 0.000000, 15.704450, -5.572673, 0.000000, -2.550248, 1.187835, 0.000000, 59.648061, -4.826766, -2, 0.000000, 5.942220, 0.037185, 0.000000, 0.002114, 0.000000, 0.000246, , Agent1, 1, 11.111111, -0.000500, 0.031746, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 85.623086, -211.194827, 0.000000, 10.471726, -3.714896, 0.000000, -0.043621, -0.218997, 0.000000, 89.642526, -4.741886, -2, 0.000000, 5.942261, -0.039990, 0.000000, -0.000043, 0.000000, 0.000034, , 
2, 0.013000, Ego, 0, 16.623625, 0.006500, 0.617562, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 57.512315, -201.287462, 0.000000, 15.674086, -5.556704, 0.000000, -2.530370, 1.330729, 0.000000, 59.847307, -4.826295, -2, 0.000000, 5.942822, 0.050161, 0.000000, 0.002651, 0.000000, 0.000402, , Agent1, 1, 11.111111, -0.006500, 0.412698, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 85.748737, -211.239445, 0.000000, 10.470946, -3.718151, 0.000000, -0.064983, -0.271218, 0.000000, 89.775838, -4.741929, -2, 0.000000, 5.941667, -0.049501, 0.000000, -0.000642, 0.000000, 0.000049, , 
3, 0.024000, Ego, 0, 16.587568, 0.010616, 1.138886, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 57.684284, -201.348294, 0.000000, 15.633564, -5.530193, 0.000000, -3.683838, 2.410057, 0.000000, 60.029417, -4.825753, -2, 0.000000, 5.943439, 0.056050, 0.000000, 0.003205, 0.000000, -0.000229, , Agent1, 1, 11.111111, -0.012000, 0.761905, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 85.863890, -211.280421, 0.000000, 10.468448, -3.725098, 0.000000, -0.227121, -0.631554, 0.000000, 89.898032, -4.742051, -2, 0.000000, 5.940937, -0.066323, 0.000000, -0.001379, 0.000000, 0.000062, , 
4, 0.035000, Ego, 0, 16.551845, 0.005116, 1.659087, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 57.856000, -201.409006, 0.000000, 15.610488, -5.519184, 0.000000, -2.097770, 1.000839, 0.000000, 60.211689, -4.825183, -2, 0.000000, 5.943272, -0.015175, 0.000000, 0.003067, 0.000000, -0.000092, , Agent1, 1, 11.111111, -0.017500, 1.111111, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 85.978997, -211.321485, 0.000000, 10.464271, -3.733076, 0.000000, -0.379759, -0.725298, 0.000000, 90.020218, -4.742271, -2, 0.000000, 5.940217, -0.065475, 0.000000, -0.002105, 0.000000, -0.000028, , 
5, 0.044000, Ego, 0, 16.522802, 0.000616, 2.083959, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 57.996234, -201.458601, 0.000000, 15.581605, -5.510664, 0.000000, -3.209290, 0.946708, 0.000000, 60.360460, -4.824729, -2, 0.000000, 5.943242, -0.003359, 0.000000, 0.003042, 0.000000, 0.000021, , Agent1, 1, 11.111111, -0.013000, 1.396825, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 86.073177, -211.355109, 0.000000, 10.464444, -3.736035, 0.000000, 0.019253, -0.328793, 0.000000, 90.120231, -4.742476, -2, 0.000000, 5.940315, 0.010886, 0.000000, -0.002005, 0.000000, -0.000019, , 
6, 0.054000, Ego, 0, 16.490820, 0.001483, 2.555125, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 58.151754, -201.513600, 0.000000, 15.552011, -5.499843, 0.000000, -2.959384, 1.082042, 0.000000, 60.525352, -4.824224, -2, 0.000000, 5.943320, 0.007783, 0.000000, 0.003106, 0.000000, 0.000146, , Agent1, 1, 11.111111, -0.008000, 1.714286, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 86.177825, -211.392461, 0.000000, 10.464775, -3.735181, 0.000000, 0.033074, 0.085420, 0.000000, 90.231352, -4.742695, -2, 0.000000, 5.940380, 0.006519, 0.000000, -0.001938, 0.000000, -0.000009, , 
7, 0.065000, Ego, 0, 16.455984, 0.003819, 3.072313, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 58.322479, -201.573947, 0.000000, 15.520407, -5.486137, 0.000000, -2.873111, 1.246041, 0.000000, 60.706241, -4.823647, -2, 0.000000, 5.943540, 0.020003, 0.000000, 0.003288, 0.000000, 0.000282, , Agent1, 1, 11.111111, -0.002500, 2.063492, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 86.292939, -211.433543, 0.000000, 10.464958, -3.734742, 0.000000, 0.016695, 0.039949, 0.000000, 90.353580, -4.742930, -2, 0.000000, 5.940399, 0.001692, 0.000000, -0.001919, 0.000000, 0.000002, , 
8, 0.070000, Ego, 0, 16.440155, 0.005592, 3.307172, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 58.399997, -201.601332, 0.000000, 15.503738, -5.476919, 0.000000, -3.333698, 1.843645, 0.000000, 60.788330, -4.823373, -2, 0.000000, 5.943686, 0.029264, 0.000000, 0.003408, 0.000000, 0.000344, , Agent1, 1, 11.111111, -0.000561, 2.222222, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 86.345263, -211.452217, 0.000000, 10.464813, -3.734681, 0.000000, -0.029052, 0.012114, 0.000000, 90.409135, -4.743037, -2, 0.000000, 5.940389, -0.001985, 0.000000, -0.001929, 0.000000, 0.000007, , 
9, 0.077000, Ego, 0, 16.418152, 0.006919, 3.635536, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 58.508392, -201.639600, 0.000000, 15.484987, -5.466882, 0.000000, -2.678702, 1.433740, 0.000000, 60.903066, -4.822970, -2, 0.000000, 5.943939, 0.036161, 0.000000, 0.003617, 0.000000, 0.000431, , Agent1, 1, 11.111111, -0.001341, 2.444444, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 86.418517, -211.478361, 0.000000, 10.464786, -3.734914, 0.000000, -0.003874, -0.033312, 0.000000, 90.486910, -4.743188, -2, 0.000000, 5.940356, -0.004742, 0.000000, -0.001963, 0.000000, 0.000014, , 
