Version: 2, OpenDRIVE: hct_6.xodr, 3DModel: 
time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
0.000, 0, Ego, 690.996, -184.592, 0.000, 1.647, 0.000, 0.000, 11.111, 0.000, 0.000
0.000, 1, Agent1, 681.473, -106.634, 0.000, 4.794, 0.000, 0.000, 0.000, 0.000, 0.000
0.000, 2, Agent2, 689.052, -159.667, 0.000, 1.649, 0.000, 0.000, 0.000, 0.000, 0.000
0.050, 0, Ego, 690.955, -184.051, 0.000, 1.647, 0.000, 0.000, 10.840, -0.000, 1.549
0.050, 1, Agent1, 681.473, -106.634, 0.000, 4.794, 0.000, 0.000, 0.000, 0.000, 0.000
0.050, 2, Agent2, 689.052, -159.667, 0.000, 1.649, 0.000, 0.000, 0.000, 0.000, 0.000
0.100, 0, Ego, 690.914, -183.524, 0.000, 1.647, 0.000, 0.000, 10.575, 0.000, 3.059
0.100, 1, Agent1, 681.473, -106.634, 0.000, 4.794, 0.000, 0.000, 0.000, 0.000, 0.000
0.100, 2, Agent2, 689.052, -159.667, 0.000, 1.649, 0.000, 0.000, 0.000, 0.000, 0.000
0.150, 0, Ego, 690.875, -183.010, 0.000, 1.647, 0.000, 0.000, 10.315, -0.000, 4.533
0.150, 1, Agent1, 681.473, -106.634, 0.000, 4.794, 0.000, 0.000, 0.000, 0.000, 0.000
0.150, 2, Agent2, 689.052, -159.667, 0.000, 1.649, 0.000, 0.000, 0.000, 0.000, 0.000
0.200, 0, Ego, 690.836, -182.508, 0.000, 1.647, 0.000, 0.000, 10.060, 0.000, 5.970
0.200, 1, Agent1, 681.473, -106.634, 0.000, 4.794, 0.000, 0.000, 0.000, 0.000, 0.000
0.200, 2, Agent2, 689.052, -159.667, 0.000, 1.649, 0.000, 0.000, 0.000, 0.000, 0.000
0.250, 0, Ego, 690.799, -182.019, 0.000, 1.648, 0.000, 0.000, 9.811, 0.001, 1.088
0.250, 1, Agent1, 681.473, -106.634, 0.000, 4.794, 0.000, 0.000, 0.000, 0.000, 0.000
0.250, 2, Agent2, 689.052, -159.667, 0.000, 1.649, 0.000, 0.000, 0.000, 0.000, 0.000
0.300, 0, Ego, 690.762, -181.542, 0.000, 1.648, 0.000, 0.000, 9.565, 0.000, 2.455
0.300, 1, Agent1, 681.473, -106.634, 0.000, 4.794, 0.000, 0.000, 0.000, 0.000, 0.000
0.300, 2, Agent2, 689.052, -159.667, 0.000, 1.649, 0.000, 0.000, 0.000, 0.000, 0.000
0.350, 0, Ego, 690.727, -181.077, 0.000, 1.647, 0.000, 0.000, 9.325, -0.001, 3.787
0.350, 1, Agent1, 681.473, -106.634, 0.000, 4.794, 0.000, 0.000, 0.000, 0.000, 0.000
0.350, 2, Agent2, 689.052, -159.667, 0.000, 1.649, 0.000, 0.000, 0.000, 0.000, 0.000
0.400, 0, Ego, 690.692, -180.624, 0.000, 1.647, 0.000, 0.000, 9.088, 0.000, 5.085
0.400, 1, Agent1, 681.473, -106.634, 0.000, 4.794, 0.000, 0.000, 0.000, 0.000, 0.000
0.400, 2, Agent2, 689.052, -159.667, 0.000, 1.649, 0.000, 0.000, 0.000, 0.000, 0.000
0.450, 0, Ego, 690.658, -180.183, 0.000, 1.647, 0.000, 0.000, 8.856, -0.000, 0.067
0.450, 1, Agent1, 681.473, -106.634, 0.000, 4.794, 0.000, 0.000, 0.000, 0.000, 0.000
0.450, 2, Agent2, 689.052, -159.667, 0.000, 1.649, 0.000, 0.000, 0.000, 0.000, 0.000
0.500, 0, Ego, 690.625, -179.753, 0.000, 1.647, 0.000, 0.000, 8.627, -0.000, 1.300
0.500, 1, Agent1, 681.473, -106.634, 0.000, 4.794, 0.000, 0.000, 0.000, 0.000, 0.000
0.500, 2, Agent2, 689.052, -159.667, 0.000, 1.649, 0.000, 0.000, 0.000, 0.000, 0.000
0.550, 0, Ego, 690.593, -179.334, 0.000, 1.647, 0.000, 0.000, 8.403, 0.000, 2.500
0.550, 1, Agent1, 681.473, -106.634, 0.000, 4.794, 0.000, 0.000, 0.000, 0.000, 0.000
0.550, 2, Agent2, 689.052, -159.667, 0.000, 1.649, 0.000, 0.000, 0.000, 0.000, 0.000
0.600, 0, Ego, 690.561, -178.926, 0.000, 1.647, 0.000, 0.000, 8.181, -0.000, 3.669
0.600, 1, Agent1, 681.473, -106.634, 0.000, 4.794, 0.000, 0.000, 0.000, 0.000, 0.000
0.600, 2, Agent2, 689.052, -159.667, 0.000, 1.649, 0.000, 0.000, 0.000, 0.000, 0.000
0.650, 0, Ego, 690.531, -178.529, 0.000, 1.647, 0.000, 0.000, 7.964, 0.000, 4.806
0.650, 1, Agent1, 681.473, -106.634, 0.000, 4.794, 0.000, 0.000, 0.000, 0.000, 0.000
0.650, 2, Agent2, 689.052, -159.667, 0.000, 1.649, 0.000, 0.000, 0.000, 0.000, 0.000
0.700, 0, Ego, 690.501, -178.143, 0.000, 1.647, 0.000, 0.000, 7.750, 0.000, 5.914
0.700, 1, Agent1, 681.473, -106.634, 0.000, 4.794, 0.000, 0.000, 0.000, 0.000, 0.000
0.700, 2, Agent2, 689.052, -159.667, 0.000, 1.649, 0.000, 0.000, 0.000, 0.000, 0.000
0.750, 0, Ego, 690.473, -177.767, 0.000, 1.647, 0.000, 0.000, 7.539, -0.000, 0.707
0.750, 1, Agent1, 681.473, -106.634, 0.000, 4.794, 0.000, 0.000, 0.000, 0.000, 0.000
0.750, 2, Agent2, 689.052, -159.667, 0.000, 1.649, 0.000, 0.000, 0.000, 0.000, 0.000
0.800, 0, Ego, 690.445, -177.401, 0.000, 1.647, 0.000, 0.000, 7.332, 0.000, 1.755
0.800, 1, Agent1, 681.473, -106.634, 0.000, 4.794, 0.000, 0.000, 0.000, 0.000, 0.000
0.800, 2, Agent2, 689.052, -159.667, 0.000, 1.649, 0.000, 0.000, 0.000, 0.000, 0.000
0.850, 0, Ego, 690.417, -177.046, 0.000, 1.647, 0.000, 0.000, 7.128, -0.000, 2.773
0.850, 1, Agent1, 681.473, -106.634, 0.000, 4.794, 0.000, 0.000, 0.000, 0.000, 0.000
0.850, 2, Agent2, 689.052, -159.667, 0.000, 1.649, 0.000, 0.000, 0.000, 0.000, 0.000
0.900, 0, Ego, 690.391, -176.701, 0.000, 1.647, 0.000, 0.000, 6.927, 0.000, 3.763
0.900, 1, Agent1, 681.473, -106.634, 0.000, 4.794, 0.000, 0.000, 0.000, 0.000, 0.000
0.900, 2, Agent2, 689.052, -159.667, 0.000, 1.649, 0.000, 0.000, 0.000, 0.000, 0.000
0.950, 0, Ego, 690.365, -176.365, 0.000, 1.647, 0.000, 0.000, 6.729, -0.000, 4.724
0.950, 1, Agent1, 681.473, -106.634, 0.000, 4.794, 0.000, 0.000, 0.000, 0.000, 0.000
0.950, 2, Agent2, 689.052, -159.667, 0.000, 1.649, 0.000, 0.000, 0.000, 0.000, 0.000
1.000, 0, Ego, 690.339, -176.019, 0.000, 1.647, 0.000, 0.000, 6.932, -0.000, 5.714
1.000, 1, Agent1, 681.518, -107.188, 0.000, 4.794, 0.000, 0.000, 11.111, 0.000, 1.587
