min_ttc            ,Agent1_S ,Agent1_Speed ,Agent1_1_SA_EndSpeed ,Agent1_1_TA_DynamicDuration ,Agent1_1_SA_DynamicDuration ,Ego_Speed
inf                ,    35.0 ,        40.0 ,                10.0 ,                        5.0 ,                        3.0 ,     40.0
inf                ,    35.0 ,        40.0 ,                10.0 ,                        5.0 ,                        5.0 ,     40.0
inf                ,    35.0 ,        40.0 ,                20.0 ,                        5.0 ,                        3.0 ,     40.0
inf                ,    35.0 ,        40.0 ,                20.0 ,                        5.0 ,                        5.0 ,     40.0
inf                ,    35.0 ,        50.0 ,                10.0 ,                        5.0 ,                        3.0 ,     40.0
inf                ,    35.0 ,        50.0 ,                10.0 ,                        5.0 ,                        5.0 ,     40.0
inf                ,    35.0 ,        50.0 ,                20.0 ,                        5.0 ,                        3.0 ,     40.0
inf                ,    35.0 ,        50.0 ,                20.0 ,                        5.0 ,                        5.0 ,     40.0
1.8540124415936263 ,    35.0 ,        60.0 ,                10.0 ,                        5.0 ,                        3.0 ,     40.0
1.2434982283672311 ,    35.0 ,        60.0 ,                10.0 ,                        5.0 ,                        5.0 ,     40.0
1.4706777729886609 ,    35.0 ,        60.0 ,                20.0 ,                        5.0 ,                        3.0 ,     40.0
0.9611766129325379 ,    35.0 ,        60.0 ,                20.0 ,                        5.0 ,                        5.0 ,     40.0
