min_ttc,Agent1_S,Agent1_Speed,Agent1_1_SA_EndSpeed,Agent1_1_TA_DynamicDuration,Agent1_1_SA_DynamicDuration,Ego_Speed
inf,45.0,40.0,10.0,5.0,3.0,40.0
inf,45.0,40.0,10.0,5.0,5.0,40.0
inf,45.0,40.0,20.0,5.0,3.0,40.0
inf,45.0,40.0,20.0,5.0,5.0,40.0
inf,45.0,50.0,10.0,5.0,3.0,40.0
inf,45.0,50.0,10.0,5.0,5.0,40.0
inf,45.0,50.0,20.0,5.0,3.0,40.0
inf,45.0,50.0,20.0,5.0,5.0,40.0
inf,45.0,60.0,10.0,5.0,3.0,40.0
1.1201955201163158,45.0,60.0,10.0,5.0,5.0,40.0
2.994511219011602,45.0,60.0,20.0,5.0,3.0,40.0
0.9801777405703731,45.0,60.0,20.0,5.0,5.0,40.0
