min_ttc,Agent1_S,Agent1_1_SA_EndSpeed,Agent1_1_TA_DynamicDuration,Agent1_1_SA_DynamicDuration,Ego_Speed
inf,0.0,0.0,5.0,2.0,40.0
inf,0.0,0.0,5.0,4.0,40.0
inf,0.0,0.0,5.0,2.0,40.0
inf,0.0,0.0,5.0,4.0,40.0
inf,0.0,0.0,5.0,2.0,40.0
inf,0.0,0.0,5.0,4.0,40.0
inf,10.0,0.0,5.0,2.0,40.0
inf,10.0,0.0,5.0,4.0,40.0
inf,10.0,0.0,5.0,2.0,40.0
inf,10.0,0.0,5.0,4.0,40.0
inf,10.0,0.0,5.0,2.0,40.0
inf,10.0,0.0,5.0,4.0,40.0
inf,20.0,0.0,5.0,2.0,40.0
inf,20.0,0.0,5.0,4.0,40.0
inf,20.0,0.0,5.0,2.0,40.0
inf,20.0,0.0,5.0,4.0,40.0
inf,20.0,0.0,5.0,2.0,40.0
inf,20.0,0.0,5.0,4.0,40.0
