min_ttc,Agent1_S,Agent1_1_SA_EndSpeed,Agent1_1_TA_DynamicDuration,Agent1_1_SA_DynamicDuration,Ego_Speed
0.8729642666595425,0.0,40.0,5.0,5.0,40.0
1.000617645721888,0.0,50.0,5.0,5.0,40.0
1.1121330825333393,0.0,60.0,5.0,5.0,40.0
1.2064920090910631,0.0,40.0,5.0,5.0,40.0
1.3122633859004198,0.0,50.0,5.0,5.0,40.0
1.4064393517904399,0.0,60.0,5.0,5.0,40.0
1.5860537793970735,0.0,40.0,5.0,5.0,40.0
1.6570207306648346,0.0,50.0,5.0,5.0,40.0
1.721676999958126,0.0,60.0,5.0,5.0,40.0
0.8729642666595425,10.0,40.0,5.0,5.0,40.0
1.000617645721888,10.0,50.0,5.0,5.0,40.0
1.1121330825333393,10.0,60.0,5.0,5.0,40.0
1.2064920090910631,10.0,40.0,5.0,5.0,40.0
1.3122633859004198,10.0,50.0,5.0,5.0,40.0
1.4064393517904399,10.0,60.0,5.0,5.0,40.0
1.5860537793970735,10.0,40.0,5.0,5.0,40.0
1.6570207306648346,10.0,50.0,5.0,5.0,40.0
1.721676999958126,10.0,60.0,5.0,5.0,40.0
0.8729642666595425,20.0,40.0,5.0,5.0,40.0
1.000617645721888,20.0,50.0,5.0,5.0,40.0
1.0586089883233618,20.0,60.0,5.0,5.0,40.0
1.0586089883233618,20.0,40.0,5.0,5.0,40.0
1.0586089883233618,20.0,50.0,5.0,5.0,40.0
1.0586089883233618,20.0,60.0,5.0,5.0,40.0
1.0586089883233618,20.0,40.0,5.0,5.0,40.0
1.0586089883233618,20.0,50.0,5.0,5.0,40.0
1.0586089883233618,20.0,60.0,5.0,5.0,40.0
